instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_66_234/p5.4.h;10.0;66;4;140.0;0.0101
Set_66_234/p5.4.i;11.2;66;4;210.0;0.0086
Set_66_234/p5.4.j;12.5;66;4;250.0;0.0086
Set_66_234/p5.4.k;13.8;66;4;320.0;0.0
Set_66_234/p5.4.l;15.0;66;4;345.0;0.0329
Set_66_234/p5.4.m;16.2;66;4;430.0;0.0165
Set_66_234/p5.4.n;17.5;66;4;460.0;0.0386
Set_66_234/p5.4.o;18.8;66;4;570.0;0.0334
Set_66_234/p5.4.p;20.0;66;4;695.0;0.036
Set_66_234/p5.4.q;21.2;66;4;680.0;0.0387
Set_66_234/p5.4.r;22.5;66;4;795.0;0.0334
Set_64_234/p6.2.d;15.0;64;2;168.0;0.0091
Set_64_234/p6.2.e;17.5;64;2;288.0;0.0333
Set_64_234/p6.2.f;20.0;64;2;552.0;0.0641
Set_64_234/p6.2.g;22.5;64;2;594.0;0.0499
Set_64_234/p6.2.h;25.0;64;2;684.0;0.0498
Set_64_234/p6.2.i;27.5;64;2;690.0;0.0475
Set_64_234/p6.2.j;30.0;64;2;810.0;0.0833
Set_64_234/p6.2.k;32.5;64;2;888.0;0.0981
Set_64_234/p6.2.l;35.0;64;2;732.0;0.0663
Set_64_234/p6.2.m;37.5;64;2;732.0;0.0585
Set_64_234/p6.2.n;40.0;64;2;972.0;0.1046
Set_64_234/p6.3.g;15.0;64;3;252.0;0.0085
Set_64_234/p6.3.h;16.7;64;3;378.0;0.0169
Set_64_234/p6.3.i;18.3;64;3;540.0;0.0317
Set_64_234/p6.3.j;20.0;64;3;792.0;0.0407
Set_64_234/p6.3.k;21.7;64;3;792.0;0.0451
Set_64_234/p6.3.l;23.3;64;3;906.0;0.0567
Set_64_234/p6.3.m;25.0;64;3;900.0;0.0548
Set_64_234/p6.3.n;26.7;64;3;948.0;0.057
Set_64_234/p6.4.j;15.0;64;4;336.0;0.0033
Set_64_234/p6.4.k;16.2;64;4;378.0;0.0196
Set_64_234/p6.4.l;17.5;64;4;558.0;0.0316
Set_64_234/p6.4.m;18.8;64;4;876.0;0.0575
Set_64_234/p6.4.n;20.0;64;4;1026.0;0.0481
